,url,publication_dt,byline,book_title,book_author,summary,uuid,uri,isbn13
0,http://www.nytimes.com/2011/11/13/books/review/11-22-63-by-stephen-king-book-review.html,2011-11-13,ERROL MORRIS,11/22/63,Stephen King,Stephen King’s time traveler tries to undo some painful history.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9780307951434', '9780606351461', '9781442344280', '9781442344303', '9781442391635', '9781444727326', '9781451627282', '9781451627299', '9781451627305', '9781451651645', '9781501120602', '9781594135590']"
1,http://www.nytimes.com/2011/10/31/books/stephen-kings-11-23-63-review.html,2011-10-31,JANET MASLIN,11/22/63,Stephen King,"Stephen King’s latest novel, “11/22/63,” tells of a schoolteacher who travels back to 1958 to alter history, and falls in love as well.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9780307951434', '9780606351461', '9781442344280', '9781442344303', '9781442391635', '9781444727326', '9781451627282', '9781451627299', '9781451627305', '9781451651645', '9781501120602', '9781594135590']"
2,http://www.nytimes.com/2004/01/04/books/the-quest-for-the-north-central-positronics.html,2004-01-04,ANDREW O'HEHIR,Wolves of the Calla,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781848941137']
3,http://www.nytimes.com/1993/10/24/books/in-short-fiction-284093.html,1993-10-24,RICHARD E. NICHOLLS,Nightmares and Dreamscapes,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781441615299']
4,http://www.nytimes.com/2001/11/04/books/books-in-brief-fiction-poetry-851302.html,2001-11-04,MARY ELIZABETH WILLIAMS,Black House,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780375504396']
5,http://www.nytimes.com/1990/05/13/books/armageddon-complete-and-uncut.html,1990-05-13,ROBERT KIELY,The Stand,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781848940833']
6,http://www.nytimes.com/1990/09/02/books/scared-but-safe.html,1990-09-02,ANDY SOLOMON,Four Past Midnight,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780816151776']
7,http://www.nytimes.com/1991/10/20/books/l-defending-stephen-king-075091.html,1991-10-20,,Needful Things,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781598877427']
8,http://www.nytimes.com/1992/06/29/books/books-of-the-times-to-be-read-in-daylight-away-from-hungry-dogs.html,1992-06-29,CHRISTOPHER LEHMANN-HAUPT,Gerald's Game,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780670846504']
9,http://www.nytimes.com/2002/04/14/books/the-horror-etc.html,2002-04-14,WALTER KIRN,Everything's Eventual : 14 Dark Tales,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781439568200']
10,http://www.nytimes.com/1986/08/21/books/books-of-the-times-547486.html,1986-08-21,CHRISTOPHER LEHMANN-HAUPT,It,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780451169518']
11,http://www.nytimes.com/2010/11/28/books/review/Rafferty-t.html,2010-11-28,TERRENCE RAFFERTY,"Full Dark, No Stars",Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9781439192566', '9781439192597', '9781439192603', '9781441677112', '9781442335769', '9781444712582', '9781451650600', '9781602859463']"
12,http://www.nytimes.com/1998/09/27/books/familiar-terrors.html,1998-09-27,DANIEL MENDELSOHN,Bag of Bones,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780671026073']
13,http://www.nytimes.com/2002/03/18/books/books-of-the-times-storytelling-mogul-decides-to-sweep-out-odds-and-ends.html,2002-03-18,JANET MASLIN,Everything's Eventual : 14 Dark Tales,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781416537816']
14,http://www.nytimes.com/1995/07/02/books/in-short-fiction-077895.html,1995-07-02,RICHARD E. NICHOLLS,Rose Madder,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781568952611']
15,http://www.nytimes.com/2013/09/16/books/doctor-sleep-is-stephen-kings-sequel-to-the-shining.html,2013-09-16,JANET MASLIN,Doctor Sleep,Stephen King,In “Doctor Sleep” Stephen King offers a sequel to “The Shining.”,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781451698855']
16,http://www.nytimes.com/2013/09/22/books/review/stephen-kings-shining-sequel-doctor-sleep.html,2013-09-22,MARGARET ATWOOD,Doctor Sleep,Stephen King,"“Doctor Sleep” picks up the story of Danny, the little boy with psycho-intuitive powers from Stephen King’s 1977 novel “The Shining.”",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781451698855']
17,http://www.nytimes.com/2013/06/23/books/review/joyland-by-stephen-king.html,2013-06-23,WALTER KIRN,Joyland,Stephen King,Stephen King’s lovelorn narrator takes a summer job at a haunted Southern amusement park.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781781162644']
18,http://www.nytimes.com/2009/11/08/books/review/JParker-t.html,2009-11-08,JAMES PARKER,Under the Dome,Stephen King,"When an enormous transparent dome settles over a small town in Maine in Stephen King’s new novel, it’s just fine with Big Jim, the local tyrant-in-waiting, and his pet goon squad.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781476735474']
19,http://www.nytimes.com/2009/11/12/books/12book.html,2009-11-12,JANET MASLIN,Under the Dome,Stephen King,“Under the Dome” gravely threatens Stephen King’s status as a mere chart-busting pop cultural phenomenon.,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781476735474']
20,http://www.nytimes.com/2014/11/14/books/stephen-kings-revival.html,2014-11-14,JANET MASLIN,Revival,Stephen King,"In Stephen King’s “Revival,” a boy is befriended by a charismatic minister with whom he will reconnect in eerie and unsettling ways as an adult.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9781410473837', '9781442372764', '9781442372788', '9781476770383', '9781476770390', '9781476770406']"
