,song,artist,date,explicit,uri_cancion,popularity,usuario,links,duracion
0,Mía,['Belén Aguilera'],2024-06-27T07:10:12Z,False,spotify:track:4iVvZOJiBmQXZHKTdLTh7C,47,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/4iVvZOJiBmQXZHKTdLTh7C,207173
1,Palabra Prohibida,['Samuraï'],2024-06-27T07:10:15Z,False,spotify:track:4sRulaggpSTT3mLCZsaJ5v,57,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/4sRulaggpSTT3mLCZsaJ5v,176881
2,El Principio de algo,"['La La Love You', 'Samuraï']",2024-06-27T07:10:22Z,False,spotify:track:6tZI1nTl6m40HG5Rs7QuHL,67,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/6tZI1nTl6m40HG5Rs7QuHL,147907
3,De Charco En Charco,"['Samuraï', 'Belén Aguilera']",2024-06-27T07:10:37Z,False,spotify:track:72nJMBop58qf4xbNwZD0qO,51,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/72nJMBop58qf4xbNwZD0qO,160589
4,Sin Vergüenza,"['Arde Bogotá', 'Dani Fernández']",2024-06-27T07:10:56Z,False,spotify:track:0mJ2qmDI2X4wrSIIBrvvpN,63,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/0mJ2qmDI2X4wrSIIBrvvpN,216325
5,Qué Vida Tan Dura,['Arde Bogotá'],2024-06-27T07:11:01Z,False,spotify:track:7pyilq0260Oo6cATaqsI7F,62,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/7pyilq0260Oo6cATaqsI7F,203796
6,Olívia,['The Tyets'],2024-06-27T07:11:10Z,False,spotify:track:0gRIXIUFSqWqw5rXcmaf9o,56,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/0gRIXIUFSqWqw5rXcmaf9o,170735
7,Más Colao Que el Colacao,['La La Love You'],2024-06-27T07:13:16Z,False,spotify:track:6ZoOG5syYD7pQTkwdYQKeo,56,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/6ZoOG5syYD7pQTkwdYQKeo,161186
8,ANESTESIA,['Tatiana Delalvz'],2024-06-27T07:26:18Z,False,spotify:track:1rVw8fs4P5f6UGjhHEBnpW,26,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/1rVw8fs4P5f6UGjhHEBnpW,160866
9,La Vuelta al Mundo,['Vicco'],2024-06-27T07:26:55Z,False,spotify:track:0KnQMnM6CfsH5A2V7g5FtK,28,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/0KnQMnM6CfsH5A2V7g5FtK,177482
10,Disimulao,['Alizzz'],2024-06-27T07:40:22Z,False,spotify:track:7sqEqSeZRKrQzdkukwxFEo,35,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/7sqEqSeZRKrQzdkukwxFEo,219480
11,"Si Me Necesitas, Llámame",['Siloé'],2024-06-27T16:26:30Z,True,spotify:track:4DEdfr4plBy97DH4YPg4At,52,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/4DEdfr4plBy97DH4YPg4At,242351
12,La Cancion Mas Hermosa Del Mundo,['Joaquín Sabina'],2024-06-28T06:05:15Z,False,spotify:track:4awx6oByarFB5OyiZaOnIz,30,quesoymarmota,https://open.spotify.com/track/4awx6oByarFB5OyiZaOnIz,293146
13,Love Of My Life - Remastered 2011,['Queen'],2024-06-28T06:05:31Z,False,spotify:track:4YJUTdZ0Pgl0ZeNyHYXeLd,70,quesoymarmota,https://open.spotify.com/track/4YJUTdZ0Pgl0ZeNyHYXeLd,217386
14,Here Comes The Sun - Remastered 2009,['The Beatles'],2024-06-28T06:06:00Z,False,spotify:track:6dGnYIeXmHdcikdzNNDMm2,85,quesoymarmota,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2,185733
15,Starlight,['Muse'],2024-06-29T14:05:58Z,False,spotify:track:3skn2lauGk7Dx6bVIt5DVj,72,1118786026,https://open.spotify.com/track/3skn2lauGk7Dx6bVIt5DVj,240213
16,Purple Rain,['Prince'],2024-06-29T14:06:29Z,False,spotify:track:7d4Ae9mG1mRNbrdHn27SwH,45,1118786026,https://open.spotify.com/track/7d4Ae9mG1mRNbrdHn27SwH,521866
17,El Fin del Mundo,"['La La Love You', 'Axolotes Mexicanos']",2024-06-29T14:07:37Z,False,spotify:track:5SeYlZyKVENMOxiSPQkKyw,64,1118786026,https://open.spotify.com/track/5SeYlZyKVENMOxiSPQkKyw,188093
18,Eso Que Tú Me Das,['Jarabe De Palo'],2024-06-29T14:08:43Z,False,spotify:track:40tFJtuES1da2fg0OurUdI,61,1118786026,https://open.spotify.com/track/40tFJtuES1da2fg0OurUdI,214553
19,Me quedo conmigo,"['Taburete', 'Marlon']",2024-06-29T14:12:00Z,False,spotify:track:180iROAm7RprlfyB8SH5S6,52,1118786026,https://open.spotify.com/track/180iROAm7RprlfyB8SH5S6,182532
20,De Perreo,['Marlon'],2024-06-29T14:12:08Z,False,spotify:track:5Hc7UPdnAVEwjvVG2d8fmk,49,1118786026,https://open.spotify.com/track/5Hc7UPdnAVEwjvVG2d8fmk,173784
21,After the Rain,['Nickelback'],2024-07-18T10:53:59Z,False,spotify:track:00zFaqzO0s1WrsNSm1adlh,51,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/00zFaqzO0s1WrsNSm1adlh,214648
22,Beggin',['Måneskin'],2024-07-18T10:54:51Z,False,spotify:track:3Wrjm47oTz2sjIgck11l5e,84,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,211560
23,Flowers,['Miley Cyrus'],2024-07-18T10:54:57Z,False,spotify:track:7DSAEUvxU8FajXtRloy8M0,90,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0,200600
