,song,artist,date,explicit,uri_cancion,popularity,usuario,links,duracion,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Mía,['Belén Aguilera'],2024-06-27T07:10:12Z,False,spotify:track:4iVvZOJiBmQXZHKTdLTh7C,47,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/4iVvZOJiBmQXZHKTdLTh7C,207173,0.383,0.447,5,-8.493,1,0.0707,0.808,4.42e-06,0.0733,0.224,159.581,audio_features,4iVvZOJiBmQXZHKTdLTh7C,spotify:track:4iVvZOJiBmQXZHKTdLTh7C,https://api.spotify.com/v1/tracks/4iVvZOJiBmQXZHKTdLTh7C,https://api.spotify.com/v1/audio-analysis/4iVvZOJiBmQXZHKTdLTh7C,207174,4
1,Palabra Prohibida,['Samuraï'],2024-06-27T07:10:15Z,False,spotify:track:4sRulaggpSTT3mLCZsaJ5v,57,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/4sRulaggpSTT3mLCZsaJ5v,176881,0.539,0.252,2,-8.276,0,0.0334,0.841,0.0,0.108,0.359,100.966,audio_features,4sRulaggpSTT3mLCZsaJ5v,spotify:track:4sRulaggpSTT3mLCZsaJ5v,https://api.spotify.com/v1/tracks/4sRulaggpSTT3mLCZsaJ5v,https://api.spotify.com/v1/audio-analysis/4sRulaggpSTT3mLCZsaJ5v,176881,4
2,El Principio de algo,"['La La Love You', 'Samuraï']",2024-06-27T07:10:22Z,False,spotify:track:6tZI1nTl6m40HG5Rs7QuHL,67,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/6tZI1nTl6m40HG5Rs7QuHL,147907,0.615,0.914,6,-3.793,1,0.0518,0.0155,0.0,0.4,0.734,141.106,audio_features,6tZI1nTl6m40HG5Rs7QuHL,spotify:track:6tZI1nTl6m40HG5Rs7QuHL,https://api.spotify.com/v1/tracks/6tZI1nTl6m40HG5Rs7QuHL,https://api.spotify.com/v1/audio-analysis/6tZI1nTl6m40HG5Rs7QuHL,147908,4
3,De Charco En Charco,"['Samuraï', 'Belén Aguilera']",2024-06-27T07:10:37Z,False,spotify:track:72nJMBop58qf4xbNwZD0qO,51,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/72nJMBop58qf4xbNwZD0qO,160589,0.763,0.803,5,-4.297,1,0.0374,0.351,0.0,0.27,0.685,125.036,audio_features,72nJMBop58qf4xbNwZD0qO,spotify:track:72nJMBop58qf4xbNwZD0qO,https://api.spotify.com/v1/tracks/72nJMBop58qf4xbNwZD0qO,https://api.spotify.com/v1/audio-analysis/72nJMBop58qf4xbNwZD0qO,160589,4
4,Sin Vergüenza,"['Arde Bogotá', 'Dani Fernández']",2024-06-27T07:10:56Z,False,spotify:track:0mJ2qmDI2X4wrSIIBrvvpN,63,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/0mJ2qmDI2X4wrSIIBrvvpN,216325,0.599,0.651,5,-4.619,0,0.0419,0.14,0.000134,0.119,0.628,122.039,audio_features,0mJ2qmDI2X4wrSIIBrvvpN,spotify:track:0mJ2qmDI2X4wrSIIBrvvpN,https://api.spotify.com/v1/tracks/0mJ2qmDI2X4wrSIIBrvvpN,https://api.spotify.com/v1/audio-analysis/0mJ2qmDI2X4wrSIIBrvvpN,216326,4
5,Qué Vida Tan Dura,['Arde Bogotá'],2024-06-27T07:11:01Z,False,spotify:track:7pyilq0260Oo6cATaqsI7F,62,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/7pyilq0260Oo6cATaqsI7F,203796,0.61,0.898,9,-3.736,1,0.0457,0.00304,0.0,0.293,0.536,74.983,audio_features,7pyilq0260Oo6cATaqsI7F,spotify:track:7pyilq0260Oo6cATaqsI7F,https://api.spotify.com/v1/tracks/7pyilq0260Oo6cATaqsI7F,https://api.spotify.com/v1/audio-analysis/7pyilq0260Oo6cATaqsI7F,203797,4
6,Olívia,['The Tyets'],2024-06-27T07:11:10Z,False,spotify:track:0gRIXIUFSqWqw5rXcmaf9o,56,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/0gRIXIUFSqWqw5rXcmaf9o,170735,0.712,0.62,4,-5.254,0,0.0432,0.0151,2.36e-06,0.0802,0.69,149.925,audio_features,0gRIXIUFSqWqw5rXcmaf9o,spotify:track:0gRIXIUFSqWqw5rXcmaf9o,https://api.spotify.com/v1/tracks/0gRIXIUFSqWqw5rXcmaf9o,https://api.spotify.com/v1/audio-analysis/0gRIXIUFSqWqw5rXcmaf9o,170735,4
7,Más Colao Que el Colacao,['La La Love You'],2024-06-27T07:13:16Z,False,spotify:track:6ZoOG5syYD7pQTkwdYQKeo,56,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/6ZoOG5syYD7pQTkwdYQKeo,161186,0.389,0.891,9,-3.312,1,0.0507,0.0135,0.0,0.0369,0.801,192.937,audio_features,6ZoOG5syYD7pQTkwdYQKeo,spotify:track:6ZoOG5syYD7pQTkwdYQKeo,https://api.spotify.com/v1/tracks/6ZoOG5syYD7pQTkwdYQKeo,https://api.spotify.com/v1/audio-analysis/6ZoOG5syYD7pQTkwdYQKeo,161187,4
8,ANESTESIA,['Tatiana Delalvz'],2024-06-27T07:26:18Z,False,spotify:track:1rVw8fs4P5f6UGjhHEBnpW,26,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/1rVw8fs4P5f6UGjhHEBnpW,160866,0.708,0.92,7,-3.947,0,0.0446,0.0312,2.04e-05,0.562,0.522,127.071,audio_features,1rVw8fs4P5f6UGjhHEBnpW,spotify:track:1rVw8fs4P5f6UGjhHEBnpW,https://api.spotify.com/v1/tracks/1rVw8fs4P5f6UGjhHEBnpW,https://api.spotify.com/v1/audio-analysis/1rVw8fs4P5f6UGjhHEBnpW,160866,4
9,La Vuelta al Mundo,['Vicco'],2024-06-27T07:26:55Z,False,spotify:track:0KnQMnM6CfsH5A2V7g5FtK,28,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/0KnQMnM6CfsH5A2V7g5FtK,177482,0.555,0.757,9,-7.272,1,0.0452,0.00477,0.000746,0.905,0.653,157.001,audio_features,0KnQMnM6CfsH5A2V7g5FtK,spotify:track:0KnQMnM6CfsH5A2V7g5FtK,https://api.spotify.com/v1/tracks/0KnQMnM6CfsH5A2V7g5FtK,https://api.spotify.com/v1/audio-analysis/0KnQMnM6CfsH5A2V7g5FtK,177483,4
10,Disimulao,['Alizzz'],2024-06-27T07:40:22Z,False,spotify:track:7sqEqSeZRKrQzdkukwxFEo,35,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/7sqEqSeZRKrQzdkukwxFEo,219480,0.83,0.501,11,-6.053,1,0.0521,0.444,0.0398,0.103,0.76,139.996,audio_features,7sqEqSeZRKrQzdkukwxFEo,spotify:track:7sqEqSeZRKrQzdkukwxFEo,https://api.spotify.com/v1/tracks/7sqEqSeZRKrQzdkukwxFEo,https://api.spotify.com/v1/audio-analysis/7sqEqSeZRKrQzdkukwxFEo,219481,4
11,"Si Me Necesitas, Llámame",['Siloé'],2024-06-27T16:26:30Z,True,spotify:track:4DEdfr4plBy97DH4YPg4At,52,e4ta60wdfnbghf4t2uk6m9xu8,https://open.spotify.com/track/4DEdfr4plBy97DH4YPg4At,242351,0.486,0.852,1,-4.835,1,0.0565,0.3,6.75e-06,0.581,0.346,147.826,audio_features,4DEdfr4plBy97DH4YPg4At,spotify:track:4DEdfr4plBy97DH4YPg4At,https://api.spotify.com/v1/tracks/4DEdfr4plBy97DH4YPg4At,https://api.spotify.com/v1/audio-analysis/4DEdfr4plBy97DH4YPg4At,242352,4
12,La Cancion Mas Hermosa Del Mundo,['Joaquín Sabina'],2024-06-28T06:05:15Z,False,spotify:track:4awx6oByarFB5OyiZaOnIz,30,quesoymarmota,https://open.spotify.com/track/4awx6oByarFB5OyiZaOnIz,293146,0.668,0.278,7,-11.919,1,0.223,0.504,1.14e-06,0.132,0.164,73.9,audio_features,4awx6oByarFB5OyiZaOnIz,spotify:track:4awx6oByarFB5OyiZaOnIz,https://api.spotify.com/v1/tracks/4awx6oByarFB5OyiZaOnIz,https://api.spotify.com/v1/audio-analysis/4awx6oByarFB5OyiZaOnIz,293147,4
13,Love Of My Life - Remastered 2011,['Queen'],2024-06-28T06:05:31Z,False,spotify:track:4YJUTdZ0Pgl0ZeNyHYXeLd,70,quesoymarmota,https://open.spotify.com/track/4YJUTdZ0Pgl0ZeNyHYXeLd,217386,0.328,0.179,5,-11.589,1,0.0299,0.933,5.54e-06,0.115,0.256,154.803,audio_features,4YJUTdZ0Pgl0ZeNyHYXeLd,spotify:track:4YJUTdZ0Pgl0ZeNyHYXeLd,https://api.spotify.com/v1/tracks/4YJUTdZ0Pgl0ZeNyHYXeLd,https://api.spotify.com/v1/audio-analysis/4YJUTdZ0Pgl0ZeNyHYXeLd,217387,4
14,Here Comes The Sun - Remastered 2009,['The Beatles'],2024-06-28T06:06:00Z,False,spotify:track:6dGnYIeXmHdcikdzNNDMm2,85,quesoymarmota,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2,185733,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.177,audio_features,6dGnYIeXmHdcikdzNNDMm2,spotify:track:6dGnYIeXmHdcikdzNNDMm2,https://api.spotify.com/v1/tracks/6dGnYIeXmHdcikdzNNDMm2,https://api.spotify.com/v1/audio-analysis/6dGnYIeXmHdcikdzNNDMm2,185733,4
15,Starlight,['Muse'],2024-06-29T14:05:58Z,False,spotify:track:3skn2lauGk7Dx6bVIt5DVj,72,1118786026,https://open.spotify.com/track/3skn2lauGk7Dx6bVIt5DVj,240213,0.55,0.874,4,-4.046,1,0.0321,0.000436,1.02e-05,0.206,0.318,121.61,audio_features,3skn2lauGk7Dx6bVIt5DVj,spotify:track:3skn2lauGk7Dx6bVIt5DVj,https://api.spotify.com/v1/tracks/3skn2lauGk7Dx6bVIt5DVj,https://api.spotify.com/v1/audio-analysis/3skn2lauGk7Dx6bVIt5DVj,240213,4
16,Purple Rain,['Prince'],2024-06-29T14:06:29Z,False,spotify:track:7d4Ae9mG1mRNbrdHn27SwH,45,1118786026,https://open.spotify.com/track/7d4Ae9mG1mRNbrdHn27SwH,521866,0.373,0.452,10,-10.417,1,0.0321,0.0354,0.00227,0.689,0.179,113.212,audio_features,7d4Ae9mG1mRNbrdHn27SwH,spotify:track:7d4Ae9mG1mRNbrdHn27SwH,https://api.spotify.com/v1/tracks/7d4Ae9mG1mRNbrdHn27SwH,https://api.spotify.com/v1/audio-analysis/7d4Ae9mG1mRNbrdHn27SwH,520787,4
17,El Fin del Mundo,"['La La Love You', 'Axolotes Mexicanos']",2024-06-29T14:07:37Z,False,spotify:track:5SeYlZyKVENMOxiSPQkKyw,64,1118786026,https://open.spotify.com/track/5SeYlZyKVENMOxiSPQkKyw,188093,0.6,0.866,4,-4.599,1,0.0477,0.000839,0.0,0.094,0.676,127.056,audio_features,5SeYlZyKVENMOxiSPQkKyw,spotify:track:5SeYlZyKVENMOxiSPQkKyw,https://api.spotify.com/v1/tracks/5SeYlZyKVENMOxiSPQkKyw,https://api.spotify.com/v1/audio-analysis/5SeYlZyKVENMOxiSPQkKyw,188094,4
18,Eso Que Tú Me Das,['Jarabe De Palo'],2024-06-29T14:08:43Z,False,spotify:track:40tFJtuES1da2fg0OurUdI,61,1118786026,https://open.spotify.com/track/40tFJtuES1da2fg0OurUdI,214553,0.778,0.804,0,-5.699,1,0.0286,0.144,9.5e-05,0.0676,0.836,130.004,audio_features,40tFJtuES1da2fg0OurUdI,spotify:track:40tFJtuES1da2fg0OurUdI,https://api.spotify.com/v1/tracks/40tFJtuES1da2fg0OurUdI,https://api.spotify.com/v1/audio-analysis/40tFJtuES1da2fg0OurUdI,214554,4
19,Me quedo conmigo,"['Taburete', 'Marlon']",2024-06-29T14:12:00Z,False,spotify:track:180iROAm7RprlfyB8SH5S6,52,1118786026,https://open.spotify.com/track/180iROAm7RprlfyB8SH5S6,182532,0.71,0.614,6,-5.8,1,0.0371,0.0076,0.0,0.0719,0.549,154.06,audio_features,180iROAm7RprlfyB8SH5S6,spotify:track:180iROAm7RprlfyB8SH5S6,https://api.spotify.com/v1/tracks/180iROAm7RprlfyB8SH5S6,https://api.spotify.com/v1/audio-analysis/180iROAm7RprlfyB8SH5S6,182532,4
20,De Perreo,['Marlon'],2024-06-29T14:12:08Z,False,spotify:track:5Hc7UPdnAVEwjvVG2d8fmk,49,1118786026,https://open.spotify.com/track/5Hc7UPdnAVEwjvVG2d8fmk,173784,0.789,0.629,5,-5.307,1,0.0425,0.149,0.0,0.122,0.785,99.999,audio_features,5Hc7UPdnAVEwjvVG2d8fmk,spotify:track:5Hc7UPdnAVEwjvVG2d8fmk,https://api.spotify.com/v1/tracks/5Hc7UPdnAVEwjvVG2d8fmk,https://api.spotify.com/v1/audio-analysis/5Hc7UPdnAVEwjvVG2d8fmk,173784,4
21,After the Rain,['Nickelback'],2024-07-18T10:53:59Z,False,spotify:track:00zFaqzO0s1WrsNSm1adlh,51,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/00zFaqzO0s1WrsNSm1adlh,214648,0.537,0.953,11,-4.689,1,0.0368,0.0673,0.0,0.134,0.728,141.984,audio_features,00zFaqzO0s1WrsNSm1adlh,spotify:track:00zFaqzO0s1WrsNSm1adlh,https://api.spotify.com/v1/tracks/00zFaqzO0s1WrsNSm1adlh,https://api.spotify.com/v1/audio-analysis/00zFaqzO0s1WrsNSm1adlh,214649,4
22,Beggin',['Måneskin'],2024-07-18T10:54:51Z,False,spotify:track:3Wrjm47oTz2sjIgck11l5e,84,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,211560,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,audio_features,3Wrjm47oTz2sjIgck11l5e,spotify:track:3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560,4
23,Flowers,['Miley Cyrus'],2024-07-18T10:54:57Z,False,spotify:track:7DSAEUvxU8FajXtRloy8M0,90,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0,200600,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,audio_features,7DSAEUvxU8FajXtRloy8M0,spotify:track:7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,200600,4
24,"Can You Feel the Love Tonight - From ""A Whole New Sound""","['Simple Plan', 'Disney']",2024-07-18T11:03:33Z,False,spotify:track:372ltCYz1uLID85yHqe7S9,59,31xiablrubqwh5zisnlt5utvh6uu,https://open.spotify.com/track/372ltCYz1uLID85yHqe7S9,173350,0.488,0.872,0,-4.301,1,0.0723,0.000182,2.42e-06,0.132,0.557,168.055,audio_features,372ltCYz1uLID85yHqe7S9,spotify:track:372ltCYz1uLID85yHqe7S9,https://api.spotify.com/v1/tracks/372ltCYz1uLID85yHqe7S9,https://api.spotify.com/v1/audio-analysis/372ltCYz1uLID85yHqe7S9,173350,4
25,Como Si Fueras a Morir Mañana,['Leiva'],2024-07-18T11:03:48Z,False,spotify:track:4aAfLSx9IthpC3Pw5pNk3E,61,quesoymarmota,https://open.spotify.com/track/4aAfLSx9IthpC3Pw5pNk3E,240984,0.46,0.816,3,-6.576,1,0.0427,0.00144,0.0,0.11,0.373,143.892,audio_features,4aAfLSx9IthpC3Pw5pNk3E,spotify:track:4aAfLSx9IthpC3Pw5pNk3E,https://api.spotify.com/v1/tracks/4aAfLSx9IthpC3Pw5pNk3E,https://api.spotify.com/v1/audio-analysis/4aAfLSx9IthpC3Pw5pNk3E,240984,4
26,"No Soy Yo, Eres Tú",['Conchita'],2024-07-18T11:04:41Z,True,spotify:track:4kbQiM51u2drG9Itboa87r,39,quesoymarmota,https://open.spotify.com/track/4kbQiM51u2drG9Itboa87r,239829,0.752,0.759,4,-3.697,1,0.0377,0.381,1.02e-06,0.109,0.571,131.968,audio_features,4kbQiM51u2drG9Itboa87r,spotify:track:4kbQiM51u2drG9Itboa87r,https://api.spotify.com/v1/tracks/4kbQiM51u2drG9Itboa87r,https://api.spotify.com/v1/audio-analysis/4kbQiM51u2drG9Itboa87r,239829,4
